subject,trial,native_language,word,class,frequency,length,correct,RT,
A1,23,English,owl,animal,4.859812,3,correct,566.9998278,
A1,27,English,mole,animal,4.60517,4,correct,548.9997576,
A1,29,English,cherry,plant,4.997212,6,correct,572.0000049,
A1,30,English,pear,plant,4.727388,4,correct,486.0001828,
A1,32,English,dog,animal,7.667626,3,correct,414.0000108,
A1,33,English,blackberry,plant,4.060443,10,correct,483.0001673,
A1,34,English,strawberry,plant,4.75359,10,correct,417.9998192,
A1,38,English,squirrel,animal,4.70953,8,correct,524.9998621,
A1,41,English,radish,plant,3.044522,6,correct,638.9997097,
A1,42,English,almond,plant,4.204693,6,correct,485.0000529,
A1,45,English,whale,animal,5.298317,5,correct,462.999975,
A1,46,English,reindeer,animal,4.043051,8,correct,513.9998636,
A1,47,English,blueberry,plant,2.484907,9,correct,404.9999728,
A1,48,English,lemon,plant,5.631212,5,correct,417.9998192,
A1,53,English,bee,animal,5.700444,3,correct,556.9998664,
A1,54,English,goat,animal,6.228511,4,correct,398.9998337,
A1,55,English,eggplant,plant,1.791759,8,correct,536.9999492,
A1,58,English,tomato,plant,5.545177,6,correct,590.9999897,
A1,59,English,peanut,plant,4.59512,6,correct,387.0001188,
A1,61,English,bat,animal,5.918894,3,incorrect,456.9998214,
A1,62,English,mustard,plant,4.442651,7,correct,847.0002586,
A1,64,English,magpie,animal,2.995732,6,correct,916.9995669,
A1,65,English,stork,animal,3.044522,5,correct,606.0000084,
A1,67,English,goose,animal,5.267858,5,correct,614.9998353,
A1,68,English,squid,animal,3.970292,5,correct,555.9998364,
A1,75,English,carrot,plant,4.976734,6,correct,496.999987,
A1,76,English,crocodile,animal,4.615121,9,correct,499.9999508,
A1,79,English,tortoise,animal,4.624973,8,correct,1229.999449,
A1,80,English,spider,animal,4.844187,6,correct,442.0000521,
A1,82,English,grape,plant,5.192957,5,correct,496.999987,
A1,88,English,fox,animal,5.652489,3,correct,581.9997394,
A1,91,English,potato,plant,6.461468,6,correct,721.9998997,
A1,93,English,frog,animal,5.129899,4,correct,675.0002087,
A1,94,English,beetroot,plant,3.555348,8,correct,573.9997725,
A1,96,English,asparagus,plant,3.663562,9,correct,532.9997739,
A1,97,English,mouse,animal,5.805135,5,correct,398.9998337,
A1,98,English,dolphin,animal,4.007333,7,correct,436.9999147,
A1,100,English,pineapple,plant,3.988984,9,correct,457.9999157,
A1,102,English,lettuce,plant,4.812184,7,NA,NA,
A1,106,English,sheep,animal,6.577861,5,correct,441.0000549,
A1,108,English,cucumber,plant,4.454347,8,correct,592.0002161,
A1,109,English,gherkin,plant,2.079442,7,correct,502.9999144,
A1,111,English,gull,animal,4.418841,4,correct,590.9999897,
A1,113,English,pig,animal,6.660575,3,correct,494.0002385,
A1,119,English,camel,animal,6.109248,5,correct,576.0001954,
A1,120,English,shark,animal,5.880533,5,correct,449.0000504,
A1,123,English,vulture,animal,4.248495,7,correct,676.9998152,
A1,125,English,snake,animal,6.120297,5,correct,554.0001735,
A1,126,English,donkey,animal,5.541264,6,correct,440.0001202,
A1,127,English,broccoli,plant,2.833213,8,correct,475.0000931,
A1,129,English,apricot,plant,3.828641,7,correct,791.0000255,
A1,133,English,leek,plant,3.332205,4,correct,623.0002998,
A1,134,English,clove,plant,3.663562,5,correct,563.0002094,
A1,135,English,banana,plant,5.023881,6,correct,494.0002385,
A1,136,English,lion,animal,6.098074,4,correct,450.9998469,
A1,139,English,elephant,animal,6.063785,8,correct,558.9997355,
A1,141,English,hedgehog,animal,3.637586,8,correct,995.9997434,
A1,144,English,eagle,animal,5.117994,5,correct,547.9998428,
A1,146,English,apple,plant,6.304449,5,correct,453.9999101,
A1,148,English,kiwi,plant,3.044522,4,correct,646.9998095,
A1,151,English,wasp,animal,4.682131,4,correct,809.9997994,
A1,152,English,cat,animal,7.086738,3,correct,467.9998615,
A1,153,English,paprika,plant,2.484907,7,correct,734.9996331,
A1,157,English,ant,animal,5.347108,3,correct,875.9999203,
A1,162,English,bunny,animal,3.332205,5,correct,581.9997394,
A1,163,English,beaver,animal,3.951244,6,correct,530.9999887,
A1,164,English,horse,animal,7.77191,5,correct,413.0001681,
A1,167,English,mushroom,plant,5.537334,8,correct,464.0002078,
A1,168,English,woodpecker,animal,2.890372,10,correct,540.9998491,
A1,169,English,moose,animal,2.70805,5,correct,411.9998561,
A1,170,English,orange,plant,6.378426,6,correct,486.9999401,
A1,173,English,avocado,plant,3.433987,7,correct,489.9998084,
A1,174,English,chicken,animal,6.59987,7,correct,364.9998709,
